"Architecture","Dedicated","Direct_X","Integrated","L2_Cache","Manufacturer","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","Release_Date","Resolution_WxH","SLI_Crossfire","Shader"
"Tesla G92b ","Yes","DX 10.0","No",0,"Nvidia",64,256,1000,"GDDR3","GeForce GTS 150","No","3.3","
01-Mar-2009 ","2560x1600","Yes","4"
"R600 XT ","Yes","DX 10","No",0,"AMD",106,512,828,"GDDR3","Radeon HD 2900 XT 512MB","No","3.1","
14-May-2007 ","2560x1600","Yes","4"
"R600 PRO ","Yes","DX 10","No",0,"AMD",51.2,256,800,"GDDR3","Radeon HD 2900 Pro","No","3.1","
07-Dec-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",36.8,128,1150,"GDDR4","Radeon HD 2600 XT Diamond Edition","No","3.3","
01-Jul-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",22.4,128,700,"GDDR3","Radeon HD 2600 XT","No","3.1","
28-Jun-2007 ","2560x1600","Yes","4"
"RV630 ","Yes","DX 10","No",0,"AMD",35.2,128,1100,"GDDR4","Radeon HD 2600 XT 256MB GDDR4","No","3.3","
26-Jun-2007 ","2560x1600","Yes","4"
"R700 RV790 XT ","Yes","DX 10.1","No",0,"AMD",134.4,256,1050,"GDDR5","Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition","No","3.3","
13-Jul-2009 ","2560x1600","Yes","4.1"
"R600 GT ","Yes","DX 10","No",0,"AMD",51.2,256,800,"GDDR3","Radeon HD 2900 GT","No","3.1","
06-Nov-2007 ","2560x1600","Yes","4"
"Pitcairn XT GL ","Yes","DX 11.2","No",0,"AMD",160,256,1250,"GDDR5","FirePro D300","No","4.3","
18-Jan-2014 ","4096x2160","Yes","5"
"RV100 ","Yes","DX 7","No",0,"AMD",2.9,64,366,"DDR","Radeon 7000 64mb","No","1.4","
02-Jan-2001 ","1600x1200","No","1"
"Fermi GF110 ","Yes","DX 12.0","No",768,"Nvidia",177.6,384,925,"GDDR5","Tesla M2090","No","4.5","
25-Jul-2011 ","2560x1600","Yes","5"
"Kepler GK110 ","Yes","DX 12.0","No",1536,"Nvidia",168,320,1050,"GDDR5","Tesla K20","No","4.5","
01-Nov-2012 ","4096x2160","No","5"
"Kepler GK110 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","Tesla K40c","No","4.5","
12-Nov-2013 ","4096x2160","Yes","5"
"GCN 1.1 Oland XT + Kaveri ","Yes","DX 12.0","No",23042,"AMD",57.6,128,900,"DDR3","Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual","No","4.4","
28-May-2015 ","2560x1600","Yes","5"
"Kepler GK104 x2 ","Yes","DX 11.1","No",0,"Nvidia",320,512,1250,"GDDR5","Tesla K10","No","4.2","
15-May-2012 ","4096x2160","No","5"
"Kepler GK110 ","Yes","DX 12.0","No",1536,"Nvidia",249.6,384,1300,"GDDR5","Tesla K20X","No","4.5","
12-Nov-2012 ","4096x2160","Yes","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i3 6167U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"R360 ","Yes","DX 9","No",0,"AMD",23.4,256,730,"DDR","Radeon 9800 XT","No","2","
01-Oct-2003 ","2048x1536","No","2"
"Fermi GF100 ","Yes","DX 12.0","No",768,"Nvidia",144,384,750,"GDDR5","Tesla C2070","No","4.5","
01-Sep-2010 ","2560x1600","No","5"
"Fermi GF100 ","Yes","DX 12.0","No",768,"Nvidia",144,384,750,"GDDR5","Tesla C2075","No","4.5","
01-Jul-2011 ","2560x1600","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6360U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Fermi GF100 ","Yes","DX 12.0","No",768,"Nvidia",144,384,750,"GDDR5","Tesla C2050","No","4.5","
01-May-2010 ","2560x1600","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6267U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6260U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Haswell GT3 ","No","DX 11.1","Yes",512,"Intel",25.6,128,800,"DDR3","Iris i5 4258U","Yes","4","
02-Jun-2013 ","2560x1600","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i5 5350H","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i5 6287U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i7 6650U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i7 6567U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Skylake GT3-E ","No","DX 12.1","Yes",512,"Intel",34.1,128,1067,"DDR4","Iris i7 6560U","Yes","4.4","
01-Sep-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i7 5950HQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",25.6,128,800,"DDR3","Iris i7 5850EQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i7 5850HQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Broadwell GT3-E ","No","DX 12.0","Yes",1024,"Intel",29.9,128,933,"DDR3","Iris i7 5750HQ","Yes","4.4","
02-Jun-2015 ","4096x2304","No","5"
"Pascal GP102 ","Yes","DX 12","No",4,"Nvidia",547.2,96,1425,"GDDR5X","GeForce Titan XP","No","4.5","
06-Apr-2017 ","7680x4320","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",288.4,384,1502,"GDDR5","GeForce GTX Titan Zotac Edition","No","4.5","
19-Feb-2013 ","4096x2160","Yes","5"
"Kepler GK110-430-B1 (x2) ","Yes","DX 12.0","No",15362,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z Palit 12GB Edition","No","4.5","
28-May-2014 ","4096x2160","Yes","5"
"Kepler GK110B ","Yes","DX 11.0","No",2,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z EVGA Superclocked 12GB Edition","No","4.4","
28-May-2014 ","4096x2160","Yes","5"
"Kepler GK110-430-B1 (x2) ","Yes","DX 12.0","No",15362,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z","No","4.5","
28-May-2014 ","4096x2160","Yes","5"
"Kepler GK110B ","Yes","DX 11.0","No",2,"Nvidia",672,384,1750,"GDDR5","GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition","No","4.4","
28-May-2014  ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 ","Yes","DX 12.1","No",3072,"Nvidia",336.6,384,1753,"GDDR5","GeForce GTX Titan X EVGA Hybrid 12GB Edition","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 (x2) ","Yes","DX 12.1","No",30722,"Nvidia",673.2,384,1753,"GDDR5","GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Kepler GK110-400-A1 ","Yes","DX 12.0","No",1536,"Nvidia",317.2,384,1652,"GDDR5","GeForce GTX Titan Zotac AMP! Edition","No","4.5","
01-Apr-2013 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 (x2) ","Yes","DX 12.1","No",30722,"Nvidia",673.2,384,1753,"GDDR5","GeForce GTX Titan X SLI","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 ","Yes","DX 12.1","No",3072,"Nvidia",336.6,384,1753,"GDDR5","GeForce GTX Titan X","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
"Maxwell GM200-400-A1 ","Yes","DX 12.1","No",3072,"Nvidia",336.6,384,1753,"GDDR5","GeForce GTX Titan X EVGA Superclocked 12GB Edition","No","4.5","
17-Mar-2015 ","4096x2160","Yes","5"
